ID,NAME,CREATEDDATE,EXPECTEDCLOSUREDATE,ACTIVITYDATE,OPPORTUNITYSTATUS,HASCOMPETITORS,EXPECTEDTOTAL,PROBABILITY,LEADCREATEDDATE,NAME,COMPANY,EMAIL,LEADSOURCE,STATUS,INDUSTRY,AM_EMAIL_ID,MAIN_TECHNOLOGY__C,STREET,CITY,STATE,POSTALCODE,COUNTRY,LEAD_ASSIGNMENT_DATE,LEAD_CLOSED_DATE,LEAD_CATEGORY,FIRST_CALL_ATTEMPT,NO_OF_ATTEMPTS,EMAIL_INTERACTION_POST_OPPORTUNITY_CREATION,CALL_INTERACTION_POST_OPPORTUNITY_CREATION,MEETING_POST_OPPORTUNITY_CREATION
00A1,ABC Comissions,9/20/2018,10/27/2018,9/20/2018,1 - Prospect,TRUE,"2,000",20,9/11/2018,Kevin T,ABC Comissions,kt@abc.com,Source 1,2 Accepted-Mine/Channel,Manufacturing,a11@company.com,NETWORK SYSTEMS - ROUTERS,55555 MAIN ST,SAINT LOUIS,MO,63108,UNITED STATES,9/12/2018,9/20/2018,BANT,9/11/2018,2,0,0,1
00A1,ABC Comissions,9/20/2018,10/27/2018,9/21/2018,1 - Prospect,TRUE,"2,000",20,9/11/2018,Kevin T,ABC Comissions,kt@abc.com,Source 1,2 Accepted-Mine/Channel,Manufacturing,a11@company.com,NETWORK SYSTEMS - ROUTERS,55555 MAIN ST,SAINT LOUIS,MO,63108,UNITED STATES,9/12/2018,9/20/2018,BANT,9/11/2018,2,1,1,0
00A1,ABC Comissions,9/20/2018,10/27/2018,9/22/2018,1 - Prospect,TRUE,"2,000",20,9/11/2018,Kevin T,ABC Comissions,kt@abc.com,Source 1,2 Accepted-Mine/Channel,Manufacturing,a11@company.com,NETWORK SYSTEMS - ROUTERS,55555 MAIN ST,SAINT LOUIS,MO,63108,UNITED STATES,9/12/2018,9/20/2018,BANT,9/11/2018,2,0,0,0
00A1,ABC Comissions,9/20/2018,10/27/2018,9/23/2018,1 - Prospect,TRUE,"2,000",20,9/11/2018,Kevin T,ABC Comissions,kt@abc.com,Source 1,2 Accepted-Mine/Channel,Manufacturing,a11@company.com,NETWORK SYSTEMS - ROUTERS,55555 MAIN ST,SAINT LOUIS,MO,63108,UNITED STATES,9/12/2018,9/20/2018,BANT,9/11/2018,2,0,0,0
00A1,ABC Comissions,9/20/2018,10/27/2018,9/24/2018,1 - Prospect,TRUE,"2,000",20,9/11/2018,Kevin T,ABC Comissions,kt@abc.com,Source 1,2 Accepted-Mine/Channel,Manufacturing,a11@company.com,NETWORK SYSTEMS - ROUTERS,55555 MAIN ST,SAINT LOUIS,MO,63108,UNITED STATES,9/12/2018,9/20/2018,BANT,9/11/2018,2,1,0,1
00A1,ABC Comissions,9/20/2018,10/27/2018,9/25/2018,1 - Prospect,TRUE,"2,000",20,9/11/2018,Kevin T,ABC Comissions,kt@abc.com,Source 1,2 Accepted-Mine/Channel,Manufacturing,a11@company.com,NETWORK SYSTEMS - ROUTERS,55555 MAIN ST,SAINT LOUIS,MO,63108,UNITED STATES,9/12/2018,9/20/2018,BANT,9/11/2018,2,0,0,0
00A1,ABC Comissions,9/20/2018,10/27/2018,9/26/2018,1 - Prospect,TRUE,"2,000",20,9/11/2018,Kevin T,ABC Comissions,kt@abc.com,Source 1,2 Accepted-Mine/Channel,Manufacturing,a11@company.com,NETWORK SYSTEMS - ROUTERS,55555 MAIN ST,SAINT LOUIS,MO,63108,UNITED STATES,9/12/2018,9/20/2018,BANT,9/11/2018,2,0,0,0
00A1,ABC Comissions,9/20/2018,10/27/2018,9/27/2018,1 - Prospect,TRUE,"2,000",20,9/11/2018,Kevin T,ABC Comissions,kt@abc.com,Source 1,2 Accepted-Mine/Channel,Manufacturing,a11@company.com,NETWORK SYSTEMS - ROUTERS,55555 MAIN ST,SAINT LOUIS,MO,63108,UNITED STATES,9/12/2018,9/20/2018,BANT,9/11/2018,2,0,0,0
00A1,ABC Comissions,9/20/2018,10/27/2018,9/28/2018,1 - Prospect,TRUE,"2,000",20,9/11/2018,Kevin T,ABC Comissions,kt@abc.com,Source 1,2 Accepted-Mine/Channel,Manufacturing,a11@company.com,NETWORK SYSTEMS - ROUTERS,55555 MAIN ST,SAINT LOUIS,MO,63108,UNITED STATES,9/12/2018,9/20/2018,BANT,9/11/2018,2,0,0,0
00A1,ABC Comissions,9/20/2018,10/27/2018,9/29/2018,1 - Prospect,TRUE,"2,000",20,9/11/2018,Kevin T,ABC Comissions,kt@abc.com,Source 1,2 Accepted-Mine/Channel,Manufacturing,a11@company.com,NETWORK SYSTEMS - ROUTERS,55555 MAIN ST,SAINT LOUIS,MO,63108,UNITED STATES,9/12/2018,9/20/2018,BANT,9/11/2018,2,0,0,0
00A1,ABC Comissions,9/20/2018,10/27/2018,9/30/2018,1 - Prospect,TRUE,"2,000",20,9/11/2018,Kevin T,ABC Comissions,kt@abc.com,Source 1,2 Accepted-Mine/Channel,Manufacturing,a11@company.com,NETWORK SYSTEMS - ROUTERS,55555 MAIN ST,SAINT LOUIS,MO,63108,UNITED STATES,9/12/2018,9/20/2018,BANT,9/11/2018,2,0,0,0
00A1,ABC Comissions,9/20/2018,10/27/2018,10/1/2018,1 - Prospect,TRUE,"2,000",20,9/11/2018,Kevin T,ABC Comissions,kt@abc.com,Source 1,2 Accepted-Mine/Channel,Manufacturing,a11@company.com,NETWORK SYSTEMS - ROUTERS,55555 MAIN ST,SAINT LOUIS,MO,63108,UNITED STATES,9/12/2018,9/20/2018,BANT,9/11/2018,2,0,0,0
00A1,ABC Comissions,9/20/2018,10/27/2018,10/2/2018,1 - Prospect,TRUE,"2,000",20,9/11/2018,Kevin T,ABC Comissions,kt@abc.com,Source 1,2 Accepted-Mine/Channel,Manufacturing,a11@company.com,NETWORK SYSTEMS - ROUTERS,55555 MAIN ST,SAINT LOUIS,MO,63108,UNITED STATES,9/12/2018,9/20/2018,BANT,9/11/2018,2,0,0,0
00A1,ABC Comissions,9/20/2018,10/27/2018,10/3/2018,1 - Prospect,TRUE,"2,000",20,9/11/2018,Kevin T,ABC Comissions,kt@abc.com,Source 1,2 Accepted-Mine/Channel,Manufacturing,a11@company.com,NETWORK SYSTEMS - ROUTERS,55555 MAIN ST,SAINT LOUIS,MO,63108,UNITED STATES,9/12/2018,9/20/2018,BANT,9/11/2018,2,0,0,0
